Kart-1,Kart-2,Kart-9,Kart-7,Kart-3,Kart-20,Kart-4,Kart-19,Kart-5,Kart-13,Kart-10,Kart-11,Kart-6,Kart-16,Kart-18,Kart-14,Kart-17,Kart-15
05.148,09.568,08.720,07.284,09.858,08.853,06.668,05.796,11.740,12.752,08.540,09.102,11.443,11.302,09.961,12.346,11.164,12.451 
69.142,71.181,74.953,74.475,77.256,71.287,72.337,72.510,72.681,74.397,72.465,81.130,90.277,73.277,85.880,74.504,74.603,91.216 
63.860,65.207,65.877,65.488,66.681,64.859,65.513,64.179,68.794,66.891,65.884,66.214,68.052,67.397,66.546,82.640,68.076,71.652
63.977,65.348,65.357,65.697,66.562,64.468,65.978,64.513,67.586,68.103,65.433,66.577,69.499,67.389,67.304,69.578,77.809,71.363
63.716,64.621,65.915,65.727,67.587,65.107,65.059,65.124,67.550,67.543,76.884,72.627,67.388,67.863,66.517,68.490,78.039,72.437
63.545,65.137,65.368,65.047,66.074,65.365,65.787,64.494,67.736,66.694,66.238,67.151,65.631,67.834,66.453,67.800,66.939,70.192
63.385,65.871,65.366,64.727,65.513,64.351,65.815,80.851,66.522,66.887,67.424,66.671,66.093,66.874,66.402,67.864,67.714,70.104
63.866,76.272,66.383,65.241,65.782,64.458,66.175,64.962,66.268,66.178,65.479,66.168,66.514,66.051,66.395,68.253,67.804,70.027
63.087,64.447,65.118,66.241,65.251,65.149,65.509,64.767,67.661,67.345,82.254,77.136,66.968,78.255,77.521,68.076,67.925,81.668
63.719,64.341,66.825,66.018,65.476,69.348,66.852,64.080,66.711,65.886,66.197,65.714,66.450,67.180,66.391,68.030,67.013,68.946
64.314,64.054,65.640,65.340,65.066,65.688,65.576,65.536,65.799,66.142,65.362,64.872,65.724,67.089,65.802,68.343,69.421,71.349
64.907,65.833,65.821,71.892,65.416,71.411,79.684,65.945,67.130,67.094,65.438,64.734,65.194,66.654,66.000,67.618,67.620,68.609
63.505,65.486,66.375,64.881,65.140,66.307,65.374,65.241,65.285,66.108,66.779,66.847,65.970,66.720,66.362,68.168,68.166,69.495
63.654,64.750,66.367,67.222,66.047,65.010,66.889,76.687,65.985,66.399,68.001,68.137,69.545,78.240,78.588,70.921,71.982,69.245
65.539,65.747,65.506,65.435,66.306,75.113,65.247,64.191,65.214,65.302,68.001,68.137,69.545,78.240,78.588,70.921,71.982,69.245
